row_zero_based,row_one_based,species,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,paper_error_union,paper_error_models,paper_cv_tests,logistic_error_rate,lda_error_rate,rbf_svm_error_rate,knn_9_error_rate,random_forest_error_rate,qda_error_rate,isolation_score,isolation_rank,lof_score,lof_rank,mcd_distance,mcd_p_value,iqr_feature_flags,other_class_fraction_15nn
37,38,setosa,4.9,3.6,1.4,0.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.48402137926819344,50,0.9915724523263755,108,5.3645742483360195,0.25189245110266906,0,0.0
38,39,setosa,4.4,3.0,1.3,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.48751672070493557,47,1.1603096915439117,32,3.3505675154286756,0.5009603587185766,0,0.0
39,40,setosa,5.1,3.4,1.5,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.40610313466474274,146,0.9701046461446261,134,0.5031494394666335,0.9731936572759011,0,0.0
40,41,setosa,5.0,3.5,1.3,0.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4464599729658798,90,0.986565372845426,114,2.6793107916343577,0.6128397821338305,0,0.0
41,42,setosa,4.5,2.3,1.3,0.3,False,,1,0.05,0.0,0.2,0.0,0.0,0.0,0.607339637036883,7,1.9120396998590194,2,22.063391873200146,0.00019468037613387928,1,0.26666666666666666
42,43,setosa,4.4,3.2,1.3,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4817625069751996,51,1.0737661047282618,55,4.170771547337112,0.38338749079461526,0,0.0
43,44,setosa,5.0,3.5,1.6,0.6,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.513540889091252,30,0.9817352000762938,121,23.97006199725652,8.098603980337205e-05,1,0.0
44,45,setosa,5.1,3.8,1.9,0.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5177889300459676,25,1.128970024665594,37,17.60638881491644,0.0014729529038629318,1,0.0
45,46,setosa,4.8,3.0,1.4,0.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.45695940987998857,77,1.106149200142669,43,4.215012432447226,0.3776884341852152,0,0.0
46,47,setosa,5.1,3.8,1.6,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.45199618358843063,80,1.1088509509809492,42,5.177920718625816,0.2695240125424692,0,0.0
47,48,setosa,4.6,3.2,1.4,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4296642757282111,116,1.0284269795749208,77,1.4488346482351524,0.8356644568960707,0,0.0
48,49,setosa,5.3,3.7,1.5,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4408446030247416,97,1.0435403455325674,70,1.8546355529122986,0.7624727618722078,0,0.0
49,50,setosa,5.0,3.3,1.4,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4099401256212249,141,0.9429461279327555,149,0.5024894679764406,0.9732581768340939,0,0.0
50,51,versicolor,7.0,3.2,4.7,1.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.49281704208012694,40,1.1143401083892492,41,5.519746944749826,0.23799915243762912,0,0.3333333333333333
51,52,versicolor,6.4,3.2,4.5,1.5,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43729433893950026,105,1.0227045271388844,81,2.1420938448966163,0.7096434037270374,0,0.2
52,53,versicolor,6.9,3.1,4.9,1.5,False,,1,0.0,0.0,0.0,0.05,0.0,0.0,0.4519431336195938,81,1.0265317273633745,79,3.4202242820091704,0.4901116157732882,0,0.4
53,54,versicolor,5.5,2.3,4.0,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.47094525839378354,61,1.1203443944957643,39,7.011841540391065,0.13526377587838503,0,0.06666666666666667
54,55,versicolor,6.5,2.8,4.6,1.5,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4138685961113808,136,0.9712851788238653,132,4.266746538713068,0.3711076401462815,0,0.26666666666666666
55,56,versicolor,5.7,2.8,4.5,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.40988316450917955,142,0.9775858646222627,126,3.2499470257154983,0.5169016228489521,0,0.0
56,57,versicolor,6.3,3.3,4.7,1.6,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4590622445133255,71,1.0537141037762319,63,2.8218102399659863,0.588073773080475,0,0.3333333333333333
57,58,versicolor,4.9,2.4,3.3,1.0,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5284443514057878,20,1.2710986915986537,14,4.354693109583723,0.36012642700755065,0,0.06666666666666667
58,59,versicolor,6.6,2.9,4.6,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43426853892514933,108,1.000839115441001,97,2.6208942138093714,0.6231263022944264,0,0.06666666666666667
59,60,versicolor,5.2,2.7,3.9,1.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.49110605708614274,42,1.0443977756125926,68,4.059672102050677,0.39799034151576973,0,0.06666666666666667
60,61,versicolor,5.0,2.0,3.5,1.0,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5990408074386117,8,1.4143943144056212,10,7.50817500878049,0.11134934928740263,0,0.13333333333333333
61,62,versicolor,5.9,3.0,4.2,1.5,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.42018212733545257,128,0.9888788379399814,111,2.3112742558771386,0.6787171565372867,0,0.13333333333333333
62,63,versicolor,6.0,2.2,4.0,1.0,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5279396115028686,21,1.198613110875704,26,7.232972684900843,0.12407705952109276,0,0.06666666666666667
63,64,versicolor,6.1,2.9,4.7,1.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4048742188539482,147,0.9588849942978701,143,1.9802906037107562,0.7393841642200434,0,0.26666666666666666
64,65,versicolor,5.6,2.9,3.6,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4571777561730498,76,1.012581231137859,87,5.70728343741553,0.2221009842503978,0,0.0
65,66,versicolor,6.7,3.1,4.4,1.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.44770970567241336,89,1.0563604995395728,61,3.9272566648251646,0.41594009696738166,0,0.06666666666666667
66,67,versicolor,5.6,3.0,4.5,1.5,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.41598755806483045,135,0.9992865030869533,99,3.4673611175716843,0.48285848134415554,0,0.2
67,68,versicolor,5.8,2.7,4.1,1.0,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4586275678701462,72,1.008624274483958,91,6.548228063732479,0.16177687709841082,0,0.0
68,69,versicolor,6.2,2.2,4.5,1.5,False,,1,0.0,0.0,0.05,0.0,0.0,0.0,0.4936984106719214,39,1.2108808275107,23,25.343518723396627,4.2909083542680544e-05,0,0.4
69,70,versicolor,5.6,2.5,3.9,1.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4501309552536275,84,1.0782460141803993,52,1.2317080025231777,0.8728510196755505,0,0.0
70,71,versicolor,5.9,3.2,4.8,1.8,True,logistic;lda,1,1.0,1.0,0.45,0.15,1.0,0.85,0.4574055566201227,75,1.0549391381484279,62,8.633400157375815,0.07094521966526203,0,0.4
71,72,versicolor,6.1,2.8,4.0,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4260974047722453,120,0.9596864977999046,142,1.8384971219869537,0.7654320555828275,0,0.0
72,73,versicolor,6.3,2.5,4.9,1.5,False,,1,0.05,0.0,0.4,1.0,0.15,0.0,0.4460070512119097,91,1.0759642949965744,53,13.249200096342213,0.010120216928275678,0,0.5333333333333333
73,74,versicolor,6.1,2.8,4.7,1.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.44081990584243125,98,0.953621584369122,145,6.731849254372842,0.15075570005296976,0,0.06666666666666667
74,75,versicolor,6.4,2.9,4.3,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4250626450289002,122,0.9780041293547338,124,1.5620977799785838,0.8155876071235904,0,0.06666666666666667
75,76,versicolor,6.6,3.0,4.4,1.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4250801973790947,121,1.0134925477096597,86,2.6531465783538635,0.6174378918937153,0,0.06666666666666667
76,77,versicolor,6.8,2.8,4.8,1.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4430326557510956,94,1.0465941920549136,67,5.007018219755799,0.2865781397759636,0,0.26666666666666666
77,78,versicolor,6.7,3.0,5.0,1.7,True,logistic;rbf_svm,1,1.0,0.0,1.0,0.05,1.0,0.0,0.43038277779235773,115,0.9942587894730481,103,7.334537107894284,0.11923075504940701,0,0.4666666666666667
78,79,versicolor,6.0,2.9,4.5,1.5,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4010669982976856,149,0.9668361847968715,137,1.3974109442891078,0.844644881840882,0,0.26666666666666666
79,80,versicolor,5.7,2.6,3.5,1.0,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.48403090049878456,49,1.044183187314005,69,4.843790741005331,0.30370429310028446,0,0.0
80,81,versicolor,5.5,2.4,3.8,1.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.46493074983952853,64,1.1006403665709747,48,1.6693938430434754,0.7962694709839069,0,0.0
81,82,versicolor,5.5,2.4,3.7,1.0,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.47431178189379736,56,1.1204816213754873,38,2.42434945287902,0.6582314540409732,0,0.0
82,83,versicolor,5.8,2.7,3.9,1.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4335153721414306,110,0.9929471071970555,105,0.746862001816626,0.9454266124822239,0,0.0
83,84,versicolor,6.0,2.7,5.1,1.6,True,logistic;lda;rbf_svm,1,1.0,1.0,1.0,1.0,1.0,1.0,0.4326119755805919,112,0.9822350897587968,120,13.383280864395816,0.009547209642183937,0,0.6
84,85,versicolor,5.4,3.0,4.5,1.5,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4488052521303326,86,1.0423912994494746,73,5.822780661562249,0.21277980301374663,0,0.2
85,86,versicolor,6.0,3.4,4.5,1.6,False,,1,0.0,0.0,0.0,0.35,0.0,0.0,0.48927142529822937,44,1.2470637270225382,18,5.847618558113216,0.21082089554716044,0,0.4
86,87,versicolor,6.7,3.1,4.7,1.5,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43264549296482485,111,1.0234347397251473,80,2.2557610736239107,0.6888345925727081,0,0.2
87,88,versicolor,6.3,2.3,4.4,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4914314836917739,41,1.1786491117320197,29,11.412211185969449,0.02230181532727722,0,0.26666666666666666
88,89,versicolor,5.6,3.0,4.1,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.428380250775361,117,0.9887341885135749,112,2.8781209402536927,0.578424322194997,0,0.0
89,90,versicolor,5.5,2.5,4.0,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.44030203484403474,99,1.0704545616312935,58,2.4925769325019647,0.6459654997216399,0,0.06666666666666667
90,91,versicolor,5.5,2.6,4.4,1.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4532659204880744,79,1.0125345243704802,88,5.390959426531329,0.24948179319598648,0,0.0
91,92,versicolor,6.1,3.0,4.6,1.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.40478401230946465,148,0.9834094762855864,116,1.2282312723772624,0.8734290102367746,0,0.2
92,93,versicolor,5.8,2.6,4.0,1.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4390520783136103,103,0.9928637946900718,106,0.5231097479990882,0.9712125983317822,0,0.0
93,94,versicolor,5.0,2.3,3.3,1.0,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5250669603208749,22,1.2773567766991945,12,3.9657895696360166,0.41065552627281066,0,0.06666666666666667
94,95,versicolor,5.6,2.7,4.2,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4159960645515244,134,1.0026113885323187,95,0.8151921711499668,0.9363998158385914,0,0.0
95,96,versicolor,5.7,3.0,4.2,1.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4360393022197109,106,0.9776101221043477,125,5.389167770522857,0.24964485456842955,0,0.0
96,97,versicolor,5.7,2.9,4.2,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.40695998102179604,145,0.9757451178078718,128,1.102092309647762,0.8939400958210246,0,0.0
97,98,versicolor,6.2,2.9,4.3,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4134048674426537,137,0.9627298683418463,138,0.636689993341192,0.9589006210762177,0,0.06666666666666667
98,99,versicolor,5.1,2.5,3.0,1.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5325995800381628,19,1.2064986404542783,24,10.016061280343132,0.04015799918913933,1,0.0
99,100,versicolor,5.7,2.8,4.1,1.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4104719030811236,140,0.9940175405995115,104,0.267923246310071,0.9917896302794069,0,0.0
100,101,virginica,6.3,3.3,6.0,2.5,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5504760332801794,15,1.1418195354097516,35,8.469168291358441,0.0758273114530557,0,0.0
101,102,virginica,5.8,2.7,5.1,1.9,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43977552227133215,100,1.0494535026792087,65,1.8145288133760586,0.769823170596165,0,0.13333333333333333
102,103,virginica,7.1,3.0,5.9,2.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4724842428465549,58,1.0430023793224623,72,1.3660624733858855,0.8500715457835106,0,0.0
103,104,virginica,6.3,2.9,5.6,1.8,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43133509154903155,113,0.9606071887751717,140,2.066293743441589,0.7235670260200415,0,0.13333333333333333
104,105,virginica,6.5,3.0,5.8,2.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4550813072238958,78,1.002205685743341,96,1.841448497716867,0.7648910137442752,0,0.0
105,106,virginica,7.6,3.0,6.6,2.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5562076712940877,12,1.2729869317860094,13,7.045107886522493,0.13352359471870687,0,0.0
106,107,virginica,4.9,2.5,4.5,1.7,True,logistic;rbf_svm,1,0.95,0.0,0.9,1.0,1.0,0.05,0.5579265324491307,11,1.2435958509305274,19,8.1855290116615,0.08501362869216407,1,0.7333333333333333
107,108,virginica,7.3,2.9,6.3,1.8,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5233542083923964,23,1.18456745737877,27,5.366972983878933,0.25167246674793037,0,0.13333333333333333
108,109,virginica,6.7,2.5,5.8,1.8,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5173857737759495,26,1.168167459524995,30,4.982771082564582,0.28906986270505014,0,0.26666666666666666
109,110,virginica,7.2,3.6,6.1,2.5,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6146384993065205,5,1.3463170367991608,11,5.450548364029123,0.24411063679193507,0,0.0
110,111,virginica,6.5,3.2,5.1,2.0,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4483306764467013,87,0.9951626458506793,102,3.5438161612225394,0.4712473517868958,0,0.13333333333333333
111,112,virginica,6.4,2.7,5.3,1.9,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4419611696113438,96,0.9960626781545511,101,0.9464730623810572,0.9178008703336228,0,0.2
112,113,virginica,6.8,3.0,5.5,2.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43946897250194766,102,0.9801484021286138,123,0.7577519363395157,0.9440205757603157,0,0.06666666666666667
113,114,virginica,5.7,2.5,5.0,2.0,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.49512037472401366,38,1.1485316114593982,33,4.673994098825288,0.32241177893870354,0,0.26666666666666666
114,115,virginica,5.8,2.8,5.1,2.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5211884152676951,24,1.1668113076535431,31,6.1738883133959765,0.18653309252052605,0,0.0
115,116,virginica,6.4,3.2,5.3,2.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4645303984187902,65,1.0312744844128192,76,1.7281110199910688,0.7856051125496988,0,0.0
116,117,virginica,6.5,3.0,5.5,1.8,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4168542829361368,132,0.9688851964738111,135,1.3896896537858454,0.8459850103400641,0,0.13333333333333333
117,118,virginica,7.7,3.8,6.7,2.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.635770751060377,3,1.822850406153518,4,14.85385164057104,0.005014137852236947,1,0.0
118,119,virginica,7.7,2.6,6.9,2.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6459087916163078,2,1.6021355426031865,6,21.961984767960764,0.00020394280766754413,0,0.0
119,120,virginica,6.0,2.2,5.0,1.5,True,logistic;rbf_svm,1,0.95,0.0,1.0,1.0,1.0,0.0,0.4995140551716879,37,1.1823820930129745,28,7.023229597926301,0.13466572786915304,1,0.8
120,121,virginica,6.9,3.2,5.7,2.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4609715790574063,69,1.033668649996137,75,1.2789066309740336,0.8649440351104054,0,0.0
121,122,virginica,5.6,2.8,4.9,2.0,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.46182904010456727,68,1.1048284599600093,44,2.597365939356961,0.6272898072398146,0,0.4
122,123,virginica,7.7,2.8,6.7,2.0,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5660419298683498,10,1.4227564879230794,9,10.705654031468336,0.03007902774971898,0,0.0
123,124,virginica,6.3,2.7,4.9,1.8,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.42451996788149926,123,0.9925627004510487,107,3.005792591099225,0.5568564924205128,0,0.26666666666666666
124,125,virginica,6.7,3.3,5.7,2.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4660425792261631,63,1.0193967161653599,85,2.0674269294127128,0.7233587020208203,0,0.0
125,126,virginica,7.2,3.2,6.0,1.8,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5011398598449364,36,1.0917106962606242,50,4.817770011660558,0.30651157912659965,0,0.2
126,127,virginica,6.2,2.8,4.8,1.8,False,,1,0.0,0.0,0.0,0.0,0.15,0.5,0.41727060244576264,131,0.9735624745284515,129,3.3240057801023157,0.5051377652629503,0,0.26666666666666666
127,128,virginica,6.1,3.0,4.9,1.8,False,,1,0.0,0.0,0.0,0.0,0.0,0.1,0.4095614402713039,143,0.944750223442467,148,3.1710159927793975,0.529625041987497,0,0.3333333333333333
128,129,virginica,6.4,2.8,5.6,2.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.44455325140569524,93,1.0105582617380815,90,1.4949499654802552,0.8275356395255441,0,0.0
129,130,virginica,7.2,3.0,5.8,1.6,False,,1,0.0,0.0,0.0,0.15,0.2,0.0,0.48871556934666,45,1.1040292770137203,45,5.891545774830705,0.20739542617006063,0,0.3333333333333333
130,131,virginica,7.4,2.8,6.1,1.9,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5141098865564199,28,1.2254274972795325,22,4.592914690890255,0.3316719220289203,0,0.13333333333333333
131,132,virginica,7.9,3.8,6.4,2.0,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.648330050349119,1,1.883860939410479,3,17.184041597800057,0.001780093811782858,1,0.06666666666666667
132,133,virginica,6.4,2.8,5.6,2.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4576297068002534,74,1.004917503606123,93,2.373461116901393,0.667428489831022,0,0.0
133,134,virginica,6.3,2.8,5.1,1.5,True,logistic;lda;rbf_svm,1,1.0,1.0,0.95,1.0,0.85,0.8,0.41747094006599306,130,0.9708405103781729,133,4.279347555774822,0.36951835087390855,0,0.6666666666666666
134,135,virginica,6.1,2.6,5.6,1.4,True,logistic,1,0.8,0.0,0.15,0.1,0.7,0.0,0.4897420542729014,43,1.071149080569721,57,8.105950234009061,0.08777330085222379,0,0.4
